#Frame,AgentID,X,Y,Z,Time,
11,2028,47.4598,-0.126374,10.3758,00:00:02,
11,2029,46.876,0.010207,9.60757,00:00:02,
11,2030,43.2645,0.010207,9.66618,00:00:02,
11,2031,48.1748,0.010207,8.23003,00:00:02,
11,2032,47.5674,0.010207,8.73813,00:00:02,
11,2033,46.7072,0.010207,8.56649,00:00:02,
11,2034,48.1158,0.010207,6.82267,00:00:02,
11,2035,41.4714,0.010207,7.69185,00:00:02,
11,2036,41.3534,0.010207,6.04585,00:00:02,
11,2037,48.6226,0.010207,4.79152,00:00:02,
11,2038,45.0864,0.010207,4.595,00:00:02,
11,2039,41.56,0.010207,5.23567,00:00:02,
11,2040,44.9568,0.010207,9.59538,00:00:02,
11,2041,42.5306,0.010207,8.95049,00:00:02,
11,2042,47.736,0.010207,7.62768,00:00:02,
11,2043,41.5061,0.010207,8.53618,00:00:02,
12,2001,48.0356,0.010207,9.13681,00:00:02,
12,2002,46.0018,-0.126374,11.8671,00:00:02,
12,2003,42.0851,0.010207,9.56515,00:00:02,
12,2004,44.6116,0.010207,8.57676,00:00:02,
12,2005,48.2332,0.010207,7.74365,00:00:02,
12,2006,47.9804,0.010207,6.01606,00:00:02,
12,2007,46.5492,0.010207,5.23658,00:00:02,
12,2008,47.7714,0.030207,9.71733,00:00:02,
12,2009,47.1924,0.010207,8.96806,00:00:02,
12,2010,45.4357,0.010207,8.56748,00:00:02,
12,2011,47.2288,0.010207,7.0115,00:00:02,
12,2012,46.0201,0.010207,5.25,00:00:02,
12,2013,45.197,0.010207,5.21899,00:00:02,
12,2014,45.8473,0.010207,4.74998,00:00:02,
12,2015,46.0794,0.010207,9.56835,00:00:02,
12,2016,44.3727,0.010207,9.61634,00:00:02,
12,2017,46.0752,0.010207,8.57339,00:00:02,
12,2018,47.3798,0.010207,5.40368,00:00:02,
12,2019,43.9818,0.010207,5.34383,00:00:02,
12,2020,41.467,0.010207,7.06228,00:00:02,
12,2021,48.4376,0.010207,6.2183,00:00:02,
12,2022,48.3955,0.010207,5.36449,00:00:02,
12,2023,47.9182,0.010207,4.97071,00:00:02,
12,2024,47.1983,0.010207,4.80614,00:00:02,
12,2025,46.6247,0.010207,4.74233,00:00:02,
12,2026,44.4765,0.010207,4.7728,00:00:02,
12,2027,43.4983,0.010207,4.7014,00:00:02,
12,2028,47.3675,-0.126374,10.63,00:00:02,
12,2029,46.9894,0.010207,9.60967,00:00:02,
12,2030,43.4209,0.010207,9.66618,00:00:02,
12,2031,48.1276,0.010207,8.31457,00:00:02,
12,2032,47.663,0.010207,8.799,00:00:02,
12,2033,46.8244,0.010207,8.58381,00:00:02,
12,2034,48.0863,0.010207,6.93053,00:00:02,
12,2035,41.469,0.010207,7.86223,00:00:02,
12,2036,41.3962,0.010207,6.16857,00:00:02,
12,2037,48.6334,0.010207,4.78167,00:00:02,
12,2038,45.2003,0.010207,4.64336,00:00:02,
12,2039,41.5363,0.010207,5.28817,00:00:02,
12,2040,45.1487,0.010207,9.59538,00:00:02,
12,2041,42.7492,0.010207,9.03404,00:00:02,
12,2042,47.742,0.010207,7.65041,00:00:02,
12,2043,41.5312,0.010207,8.72827,00:00:02,
13,2001,48.0767,0.010207,9.21049,00:00:02,
13,2002,45.621,-0.126374,11.8539,00:00:02,
13,2003,42.1953,0.010207,9.58859,00:00:02,
13,2004,44.7735,0.010207,8.57676,00:00:02,
13,2005,48.232,0.010207,7.81642,00:00:02,
13,2006,47.9633,0.010207,6.19839,00:00:02,
13,2007,46.6373,0.010207,5.23842,00:00:02,
13,2008,47.7022,0.030207,9.78116,00:00:02,
13,2009,47.2782,0.010207,9.05793,00:00:02,
13,2010,45.5935,0.010207,8.56748,00:00:02,
13,2011,47.2269,0.010207,7.01603,00:00:02,
13,2012,46.1087,0.010207,5.25,00:00:02,
13,2013,45.3061,0.010207,5.21899,00:00:02,
13,2014,45.9804,0.010207,4.74874,00:00:02,
13,2015,46.2707,0.010207,9.6051,00:00:02,
13,2016,44.5686,0.010207,9.61634,00:00:02,
13,2017,46.2203,0.010207,8.57339,00:00:02,
13,2018,47.4636,0.010207,5.37502,00:00:02,
13,2019,44.1335,0.010207,5.33799,00:00:02,
13,2020,41.4805,0.010207,7.26798,00:00:02,
13,2021,48.4076,0.010207,6.42776,00:00:02,
13,2022,48.4804,0.010207,5.4754,00:00:02,
13,2023,47.9938,0.010207,4.96119,00:00:02,
13,2024,47.2765,0.010207,4.77924,00:00:02,
13,2025,46.7518,0.010207,4.75171,00:00:02,
13,2026,44.6173,0.010207,4.80009,00:00:02,
13,2027,43.5465,0.010207,4.72216,00:00:02,
13,2028,47.2266,-0.126374,10.8796,00:00:02,
13,2029,47.1251,0.030207,9.58942,00:00:02,
13,2030,43.5913,0.010207,9.66618,00:00:02,
13,2031,48.0759,0.010207,8.43485,00:00:02,
13,2032,47.737,0.010207,8.84367,00:00:02,
13,2033,46.9406,0.010207,8.59695,00:00:02,
13,2034,48.0721,0.010207,7.03959,00:00:02,
13,2035,41.4697,0.010207,8.06393,00:00:02,
13,2036,41.4375,0.010207,6.3157,00:00:02,
13,2037,48.6438,0.010207,4.77495,00:00:02,
13,2038,45.3046,0.010207,4.69826,00:00:02,
13,2039,41.5363,0.010207,5.37157,00:00:02,
